malaysia_weather_cleaned
datetime,year,month,month_num,day,hour,minutes,seconds,state,city,place,temperature,humidity,dew_point,pressure,wind_speed,gust,uv_index,precipitation_rate,precipitation_total
2018-01-17 01:00:00,2018,Jan,1,17,1,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,26.0,78.0,22.0,1009.64,0.0,,0.0,,
2018-01-17 01:00:00,2018,Jan,1,17,1,0,0,Kuala Lumpur,Sepang,Sepang,25.0,89.0,23.0,1007.96,0.0,,0.0,,
2018-01-17 19:00:00,2018,Jan,1,17,19,0,0,Kuala Lumpur,Sepang,Sepang,29.0,70.0,23.0,1002.97,6.0,,0.0,,
2018-01-18 02:30:00,2018,Jan,1,18,2,30,0,Kuala Lumpur,Sepang,Sepang,26.0,89.0,24.0,1005.97,11.0,,0.0,,
2018-01-18 20:30:00,2018,Jan,1,18,20,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,26.0,89.0,24.0,1007.64,9.0,,0.0,,
2018-01-19 05:30:00,2018,Jan,1,19,5,30,0,Kuala Lumpur,Sepang,Sepang,25.0,94.0,24.0,1005.97,4.0,,0.0,,
2018-01-19 07:00:00,2018,Jan,1,19,7,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,24.0,94.0,23.0,1007.64,4.0,,0.0,,
2018-01-20 02:30:00,2018,Jan,1,20,2,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,26.0,89.0,24.0,1007.64,6.0,,0.0,,
2018-01-20 04:30:00,2018,Jan,1,20,4,30,0,Kuala Lumpur,Sepang,Sepang,24.0,94.0,23.0,1004.97,7.0,,0.0,,
2018-01-20 11:00:00,2018,Jan,1,20,11,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,28.0,79.0,24.0,1008.64,13.0,,4.0,,
2018-01-20 17:00:00,2018,Jan,1,20,17,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,30.0,66.0,23.0,1004.64,15.0,,2.0,,
2018-01-20 20:30:00,2018,Jan,1,20,20,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,26.0,89.0,24.0,1006.64,7.0,,0.0,,
2018-01-20 21:30:00,2018,Jan,1,20,21,30,0,Kuala Lumpur,Sepang,Sepang,28.0,84.0,25.0,1005.97,4.0,,0.0,,
2018-01-21 18:30:00,2018,Jan,1,21,18,30,0,Kuala Lumpur,Sepang,Sepang,31.0,66.0,24.0,1002.97,11.0,,0.0,,
2018-01-21 23:30:00,2018,Jan,1,21,23,30,0,Kuala Lumpur,Sepang,Sepang,27.0,84.0,24.0,1005.97,6.0,,0.0,,
2018-01-22 12:30:00,2018,Jan,1,22,12,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,29.0,74.0,24.0,1008.64,7.0,,7.0,,
2018-01-22 17:00:00,2018,Jan,1,22,17,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,30.0,74.0,25.0,1004.64,11.0,,2.0,,
2018-01-23 03:00:00,2018,Jan,1,23,3,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,25.0,89.0,23.0,1006.64,2.0,,0.0,,
2018-01-23 07:30:00,2018,Jan,1,23,7,30,0,Kuala Lumpur,Sepang,Sepang,25.0,94.0,24.0,1004.97,7.0,,0.0,,
2018-01-23 23:00:00,2018,Jan,1,23,23,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,25.0,94.0,24.0,1008.64,4.0,,0.0,,
2018-01-24 02:30:00,2018,Jan,1,24,2,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,25.0,94.0,24.0,1006.64,0.0,,0.0,,
2018-01-25 08:00:00,2018,Jan,1,25,8,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,25.0,94.0,24.0,1006.64,2.0,,0.0,,
2018-01-26 02:00:00,2018,Jan,1,26,2,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,27.0,84.0,24.0,1006.64,4.0,,0.0,,
2018-01-26 03:30:00,2018,Jan,1,26,3,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,26.0,94.0,25.0,1005.64,0.0,,0.0,,
2018-01-26 07:00:00,2018,Jan,1,26,7,0,0,Kuala Lumpur,Sepang,Sepang,24.0,94.0,23.0,1003.97,4.0,,0.0,,
2018-01-26 09:30:00,2018,Jan,1,26,9,30,0,Kuala Lumpur,Sepang,Sepang,28.0,84.0,25.0,1005.97,2.0,,1.0,,
2018-01-26 10:00:00,2018,Jan,1,26,10,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,28.0,84.0,25.0,1007.64,13.0,,2.0,,
2018-01-26 22:00:00,2018,Jan,1,26,22,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,27.0,84.0,24.0,1006.64,7.0,,0.0,,
2018-01-26 23:00:00,2018,Jan,1,26,23,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,26.0,89.0,24.0,1007.64,6.0,,0.0,,
2018-01-28 15:00:00,2018,Jan,1,28,15,0,0,Kuala Lumpur,Sepang,Sepang,31.0,66.0,24.0,1004.97,6.0,,6.0,,
2018-01-28 18:30:00,2018,Jan,1,28,18,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,27.0,89.0,25.0,1005.64,11.0,,0.0,,
2018-01-28 21:00:00,2018,Jan,1,28,21,0,0,Kuala Lumpur,Sepang,Sepang,28.0,84.0,25.0,1006.97,6.0,,0.0,,
2018-01-30 15:00:00,2018,Jan,1,30,15,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,31.0,75.0,26.0,1007.64,15.0,,6.0,,
2018-01-30 16:00:00,2018,Jan,1,30,16,0,0,Kuala Lumpur,Sepang,Sepang,32.0,70.0,26.0,1004.97,11.0,,4.0,,
2018-01-30 22:00:00,2018,Jan,1,30,22,0,0,Kuala Lumpur,Sepang,Sepang,28.0,84.0,25.0,1007.96,9.0,,0.0,,
2018-01-30 23:30:00,2018,Jan,1,30,23,30,0,Kuala Lumpur,Sepang,Sepang,27.0,89.0,25.0,1007.96,13.0,,0.0,,
2018-01-31 16:00:00,2018,Jan,1,31,16,0,0,Kuala Lumpur,Sepang,Sepang,31.0,75.0,26.0,1004.97,11.0,,4.0,,
2018-02-01 00:30:00,2018,Feb,2,1,0,30,0,Kuala Lumpur,Sepang,Sepang,26.0,83.0,23.0,1008.96,6.0,,0.0,,
2018-02-01 04:00:00,2018,Feb,2,1,4,0,0,Kuala Lumpur,Sepang,Sepang,26.0,89.0,24.0,1006.97,0.0,,0.0,,
2018-02-01 10:00:00,2018,Feb,2,1,10,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,28.0,84.0,25.0,1011.64,7.0,,2.0,,
2018-02-01 21:30:00,2018,Feb,2,1,21,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,28.0,84.0,25.0,1008.64,6.0,,0.0,,
2018-02-02 01:30:00,2018,Feb,2,2,1,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,27.0,89.0,25.0,1010.64,4.0,,0.0,,
2018-02-02 09:00:00,2018,Feb,2,2,9,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,26.0,83.0,23.0,1010.64,6.0,,1.0,,
2018-02-03 09:00:00,2018,Feb,2,3,9,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,26.0,78.0,22.0,1011.64,6.0,,1.0,,
2018-02-03 22:00:00,2018,Feb,2,3,22,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,27.0,79.0,23.0,1010.64,0.0,,0.0,,
2018-02-04 03:30:00,2018,Feb,2,4,3,30,0,Kuala Lumpur,Sepang,Sepang,26.0,69.0,20.0,1007.96,20.0,,0.0,,
2018-02-04 20:00:00,2018,Feb,2,4,20,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,29.0,66.0,22.0,1009.64,13.0,,0.0,,
2018-02-04 23:00:00,2018,Feb,2,4,23,0,0,Pulau Pinang,Bayan Lepas,Batu Maung,28.0,79.0,24.0,1011.64,4.0,,0.0,,
2018-02-05 03:00:00,2018,Feb,2,5,3,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,24.0,83.0,21.0,1010.64,6.0,,0.0,,
2018-02-05 06:00:00,2018,Feb,2,5,6,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,23.0,83.0,20.0,1010.64,4.0,,0.0,,
2018-02-05 11:00:00,2018,Feb,2,5,11,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,30.0,58.0,21.0,1013.64,17.0,,4.0,,
2018-02-05 18:30:00,2018,Feb,2,5,18,30,0,Kuala Lumpur,Sepang,Sepang,30.0,66.0,23.0,1007.96,0.0,,0.0,,
2018-02-07 06:00:00,2018,Feb,2,7,6,0,0,Kuala Lumpur,Sepang,Sepang,25.0,69.0,19.0,1007.96,9.0,,0.0,,
2018-02-07 09:00:00,2018,Feb,2,7,9,0,0,Kuala Lumpur,Sepang,Sepang,26.0,69.0,20.0,1009.96,7.0,,1.0,,
2018-02-07 11:30:00,2018,Feb,2,7,11,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,30.0,55.0,20.0,1011.64,13.0,,5.0,,
2018-02-07 12:30:00,2018,Feb,2,7,12,30,0,Kuala Lumpur,Sepang,Sepang,30.0,58.0,21.0,1009.96,9.0,,8.0,,
2018-02-07 14:30:00,2018,Feb,2,7,14,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,30.0,62.0,22.0,1009.64,15.0,,7.0,,
2018-02-07 20:00:00,2018,Feb,2,7,20,0,0,Pulau Pinang,Seberang Perai,Sungai Puyu,29.0,70.0,23.0,1008.64,7.0,,0.0,,
2018-02-07 21:30:00,2018,Feb,2,7,21,30,0,Pulau Pinang,Bayan Lepas,Batu Maung,27.0,74.0,22.0,1010.64,6.0,,0.0,,
2018-02-08 23:30:00,2018,Feb,2,8,23,30,0,Kuala Lumpur,Sepang,Sepang,27.0,70.0,21.0,1008.96,15.0,,0.0,,
